Mon Dec 21 04:11:30 2020,04:11:30.985678 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.393 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.393/0.393/0.393/0.000 ms\n'
Mon Dec 21 04:11:30 2020,04:11:30.987266 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.374 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.374/0.374/0.374/0.000 ms\n'
Mon Dec 21 04:11:30 2020,04:11:30.988873 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.462 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.462/0.462/0.462/0.000 ms\n'
Mon Dec 21 04:11:30 2020,04:11:30.992919 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.375 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.375/0.375/0.375/0.000 ms\n'
Mon Dec 21 04:11:30 2020,04:11:30.994705 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.354 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.354/0.354/0.354/0.000 ms\n'
Mon Dec 21 04:11:30 2020,04:11:30.996328 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.341 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.341/0.341/0.341/0.000 ms\n'
Mon Dec 21 04:11:30 2020,04:11:31.000806 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.360 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.360/0.360/0.360/0.000 ms\n'
Mon Dec 21 04:11:30 2020,04:11:31.002466 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.370 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.370/0.370/0.370/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.004127 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.352 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.352/0.352/0.352/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.005762 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.363 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.363/0.363/0.363/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.016727 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.387 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.387/0.387/0.387/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.019780 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.453 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.453/0.453/0.453/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.022601 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.299 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.299/0.299/0.299/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.030915 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.403 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.403/0.403/0.403/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.034469 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.402 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.402/0.402/0.402/0.000 ms\n'
Mon Dec 21 04:11:31 2020,04:11:31.040597 b'PING 10.0.2.5 (10.0.2.5) 56(84) bytes of data.\n64 bytes from 10.0.2.5: icmp_seq=1 ttl=64 time=0.400 ms\n\n--- 10.0.2.5 ping statistics ---\n1 packets transmitted, 1 received, 0% packet loss, time 0ms\nrtt min/avg/max/mdev = 0.400/0.400/0.400/0.000 ms\n'
